Constituency No.,Constituency,Candidate No.,Name,Sex,Age,Category,Party,General,Postal,Total
36,BIJWASAN,8,INDER SINGH,M,65,GEN,IND,286,4,290
36,BIJWASAN,9,OMBIR SINGH NAUGHWAR,M,50,GEN,IND,239,0,239
37,PALAM,1,DHARM DEV SOLANKI,M,62,GEN,BJP,42608,225,42833
37,PALAM,2,BHAWNA GAUR,F,42,GEN,AAAP,34261,200,34461
37,PALAM,3,MADAN MOHAN,M,43,SC,BSP,24772,90,24862
37,PALAM,4,VINAY MISHRA,M,30,GEN,INC,19403,128,19531
37,PALAM,5,NEERAJ KR SHARMA,M,26,GEN,NYP,3631,0,3631
37,PALAM,6,SUNIL POKHRIYAL,M,42,GEN,JD(U),1056,7,1063
37,PALAM,7,None of the Above,N/A,N/A,N/A,NOTA,887,16,903
37,PALAM,8,SAROJ BALA,F,37,GEN,CPI,494,4,498
37,PALAM,9,RAJENDRA PRASAD SINGH,M,60,GEN,IND,273,0,273
37,PALAM,10,P. RATHINAM,M,34,GEN,DMDK,230,0,230
37,PALAM,11,DALIP,M,45,GEN,IND,176,0,176
37,PALAM,12,PRAHLAD RANA,M,66,GEN,RLD,165,0,165
38,DELHI CANTT,1,SURENDER SINGH,M,34,GEN,AAAP,25929,195,26124
38,DELHI CANTT,2,KARAN SINGH TANWAR,M,61,GEN,BJP,25509,260,25769
38,DELHI CANTT,3,ASHOK KUMAR JAIN,M,59,GEN,INC,11891,97,11988
38,DELHI CANTT,4,RAJESH PIHAL,M,41,SC,BSP,737,8,745
38,DELHI CANTT,5,None of the Above,N/A,N/A,N/A,NOTA,470,8,478
38,DELHI CANTT,6,RAVI KUMAR,M,25,GEN,IND,175,1,176
38,DELHI CANTT,7,SUNIL KUMAR SINGH,M,48,GEN,IND,144,2,146
38,DELHI CANTT,8,SANJEEV TOKAS,M,38,GEN,IND,143,0,143
38,DELHI CANTT,9,SANJAY KUMAR NANDA,M,42,SC,SHS,120,0,120
38,DELHI CANTT,10,SURENDER KUMAR,M,48,SC,IND,94,0,94
38,DELHI CANTT,11,HEERA LAL,M,50,SC,RJAP,44,0,44
38,DELHI CANTT,12,ASHOK JINDAL,M,53,GEN,IND,33,1,34
39,RAJINDER NAGAR,1,R.P.SINGH,M,52,GEN,BJP,35562,151,35713
39,RAJINDER NAGAR,2,VIJENDER GARG VIJAY,M,50,GEN,AAAP,33776,141,33917
39,RAJINDER NAGAR,3,RAMA KANT GOSWAMI,M,69,GEN,INC,20702,115,20817
39,RAJINDER NAGAR,4,TRILOK CHAND SHARMA,M,50,GEN,BSP,4777,17,4794
39,RAJINDER NAGAR,5,VINOD BHATT,M,32,GEN,IND,1720,0,1720
39,RAJINDER NAGAR,6,None of the Above,N/A,N/A,N/A,NOTA,547,5,552
39,RAJINDER NAGAR,7,RAM KUMAR TANWAR,M,52,GEN,IND,405,1,406
39,RAJINDER NAGAR,8,VINOD KUMAR SHRIVASTAVA,M,48,GEN,JD(U),358,0,358
39,RAJINDER NAGAR,9,VIJAY GUPTA,M,47,GEN,IND,264,0,264
39,RAJINDER NAGAR,10,MD. SHOAIB,M,26,GEN,SP(I),200,1,201
39,RAJINDER NAGAR,11,SADHANA,F,38,GEN,RPIE,160,0,160
39,RAJINDER NAGAR,12,P.D. THANAPPAN,M,63,GEN,DMDK,152,0,152
39,RAJINDER NAGAR,13,SWADESH OHRI,M,72,GEN,ATBP,149,0,149
39,RAJINDER NAGAR,14,AJAY KUMAR KALIA,M,58,GEN,NADP,141,1,142
39,RAJINDER NAGAR,15,RAJANI CHAUHAN,F,48,GEN,PHRC,132,2,134
39,RAJINDER NAGAR,16,SANNO,F,37,GEN,RVNP,123,0,123
39,RAJINDER NAGAR,17,NEELAM MAHAJAN,F,54,GEN,IND,103,0,103
40,NEW DELHI,1,ARVIND KEJRIWAL,M,45,GEN,AAAP,43751,518,44269
40,NEW DELHI,2,SHEILA DIKSHIT,F,75,GEN,INC,18125,280,18405
40,NEW DELHI,3,VIJENDER KUMAR,M,50,GEN,BJP,17625,327,17952
40,NEW DELHI,4,RITU SINGH,F,46,GEN,BSP,589,16,605
40,NEW DELHI,5,None of the Above,N/A,N/A,N/A,NOTA,453,7,460
40,NEW DELHI,6,ANITA,F,43,GEN,SP(I),258,2,260
40,NEW DELHI,7,LAXMI NARAYAN,M,35,GEN,IND,208,0,208
40,NEW DELHI,8,G S MANI,M,35,GEN,DMDK,203,2,205
40,NEW DELHI,9,LILA DEVI,F,51,GEN,IND,82,1,83
40,NEW DELHI,10,JAGDISH KUMAR GHAI,M,64,GEN,IND,82,0,82
40,NEW DELHI,11,SANJAY KUMAR,M,35,GEN,RAJSP,60,2,62
40,NEW DELHI,12,ASHISH KAPUR,M,40,GEN,IND,58,0,58
40,NEW DELHI,13,ASAD MIYAN,M,42,GEN,IND,35,4,39
40,NEW DELHI,14,ANAND KUMAR RAI,M,28,GEN,IND,39,0,39
40,NEW DELHI,15,RAJ KUMAR PARIHAR,M,38,GEN,DJP,22,0,22
40,NEW DELHI,16,SHIV KUMAR TIWARI,M,39,GEN,ABHM,21,0,21
40,NEW DELHI,17,SHANKAR SHAH,M,52,GEN,RVNP,16,1,17
40,NEW DELHI,18,K.P. SANKARAN MENON,M,68,GEN,RBHP,15,0,15
41,JANGPURA,1,MANINDER SINGH DHIR,M,61,GEN,AAAP,29607,94,29701
41,JANGPURA,2,TARVINDER SINGH MARWAH,M,54,GEN,INC,27873,84,27957
41,JANGPURA,3,PANKAJ JAIN,M,43,GEN,BJP,18876,102,18978
41,JANGPURA,4,RAKESH,M,26,GEN,JD(U),1522,1,1523
41,JANGPURA,5,SURESH CHAND,M,58,GEN,BSP,590,10,600
41,JANGPURA,6,None of the Above,N/A,N/A,N/A,NOTA,545,10,555
41,JANGPURA,7,VIJAY CHOUDARY,M,59,GEN,IND,296,3,299
41,JANGPURA,8,A. SHIVA,M,37,GEN,DMDK,256,0,256
41,JANGPURA,9,SANDEEP SINGH,M,35,GEN,ABVCP Telephone,243,0,243
41,JANGPURA,10,PREM SAGAR,M,49,GEN,IJP,124,0,124
41,JANGPURA,11,TARUN SAINI,M,31,GEN,IND,72,0,72
41,JANGPURA,12,DEEPAK BISWAS,M,52,GEN,IND,66,1,67
42,KASTURBA NAGAR,1,MADAN LAL,M,57,GEN,AAAP,33400,209,33609
42,KASTURBA NAGAR,2,SHIKHA ROY,F,49,GEN,BJP,28666,269,28935
42,KASTURBA NAGAR,3,NEERAJ BASOYA,M,37,GEN,INC,24057,170,24227
42,KASTURBA NAGAR,4,None of the Above,N/A,N/A,N/A,NOTA,604,3,607
42,KASTURBA NAGAR,5,SURESH KUMAR VERMA,M,38,GEN,BSP,474,4,478
42,KASTURBA NAGAR,6,BEER SINGH NEGI,M,52,GEN,SSGP,151,0,151
42,KASTURBA NAGAR,7,COLONEL ANIL JOTWANI (RETIRED),M,50,GEN,IND,147,1,148
42,KASTURBA NAGAR,8,BACHO,M,36,GEN,NADP,137,3,140
42,KASTURBA NAGAR,9,BISWAMBAR NAYAK,M,41,GEN,IND,89,1,90
43,MALVIYA NAGAR,1,SHRI SOMNATH BHARTI,M,39,GEN,AAAP,32164,94,32258
43,MALVIYA NAGAR,2,MS. ARTI MEHRA,F,50,GEN,BJP,24350,136,24486
43,MALVIYA NAGAR,3,MS. KIRAN WALIA,F,69,GEN,INC,20418,82,20500
43,MALVIYA NAGAR,4,KISHOR,M,48,GEN,AACP,2389,0,2389
43,MALVIYA NAGAR,6,None of the Above,M,40,GEN,POSTAL TOTAL,735,6,741
43,MALVIYA NAGAR,7,CHAHAT MIYAN,N/A,N/A,N/A,NOTA,373,2,375
43,MALVIYA NAGAR,8,MRS. SHARMILA,M,30,GEN,SP,246,1,247
43,MALVIYA NAGAR,9,SHRI RAJEEV KUMAR,F,30,GEN,DMDK,183,1,184
43,MALVIYA NAGAR,10,SHRI RAFIK,M,40,GEN,IND,133,1,134
43,MALVIYA NAGAR,11,MOHD. YUSUF,M,51,GEN,PECP,128,1,129
43,MALVIYA NAGAR,12,SUNIL ATREE,M,27,GEN,BHBP,93,0,93
43,MALVIYA NAGAR,13,SHRI HANNAN AHMED,M,52,GEN,NCP,87,1,88
43,MALVIYA NAGAR,14,BHART KUMAR SHAHOO,M,51,GEN,NADP,46,1,47
43,MALVIYA NAGAR,15,KIRAN,M,25,GEN,IND,45,0,45
43,MALVIYA NAGAR,16,PREM SINGH,F,29,GEN,AA S P,36,0,36
43,MALVIYA NAGAR,17,SHRI JAVED FAROOQUI,M,42,SC,JKNPP,32,0,32
44,R K PURAM,1,ANIL KUMAR SHARMA,M,40,GEN,LJP,30,0,30
44,R K PURAM,2,SHAZIA ILMI MALIK,M,42,GEN,BJP,27709,308,28017
44,R K PURAM,3,BARKHA SHUKLA SINGH,F,43,GEN,AAAP,27476,215,27691
44,R K PURAM,4,DHIRAJ KUMAR TOKAS,F,54,GEN,INC,19540,139,19679
44,R K PURAM,5,None of the Above,M,38,GEN,NOTA,522,6,528
44,R K PURAM,6,MAHAVEER SINGH,M,33,GEN,PPGP,222,0,222
44,R K PURAM,7,UTTAM KUMAR,M,46,GEN,NADP,210,1,211
44,R K PURAM,8,S.D. PRAKASH,M,28,GEN,DMDK,163,2,165
44,R K PURAM,9,GIANDEV GUPTA,M,61,GEN,AACP,109,0,109
44,R K PURAM,10,RASHID ILMI,M,42,GEN,IND,97,2,99
44,R K PURAM,11,KULDEEP SINGH AHLAWAT,M,51,GEN,IND,72,0,72
45,MEHRAULI,1,PARVESH SAHIB SINGH,M,35,GEN,Constituency,84468,36,37306
45,MEHRAULI,2,NARINDER SINGH SEJWAL,M,37,GEN,AAAP,32790,127,32917
45,MEHRAULI,3,DR. YOGANAND SHASTRI,M,68,GEN,INC,21363,131,21494
45,MEHRAULI,5,None of the Above,M,56,GEN,POSTAL TOTAL,3155,15,3170
45,MEHRAULI,6,PREM DUTT SHARMA,N/A,N/A,N/A,NOTA,651,6,657
45,MEHRAULI,7,NARENDER SINGH,M,65,GEN,NCP,639,5,644
45,MEHRAULI,8,BIMLESH KUMAR JHA,M,29,GEN,AACP,206,3,209
45,MEHRAULI,9,ANUPAM KUMAR SHARMA,M,33,GEN,IND,116,1,117
46,CHHATARPUR,1,BRAHM SINGH TANWAR,M,44,GEN,IND,105,0,105
46,CHHATARPUR,2,BALRAM TANWAR,M,61,GEN,BJP,49763,212,49975
46,CHHATARPUR,3,RISHI PAL,M,55,GEN,INC,33732,119,33851
46,CHHATARPUR,4,AMIT KUMAR,M,46,GEN,AAAP,22183,102,22285
46,CHHATARPUR,5,SHIV DUTT SHARMA,M,31,SC,BSP,2494,13,2507
46,CHHATARPUR,6,None of the Above,M,45,GEN,NOTA,716,2,718
46,CHHATARPUR,7,RAM SIRJAN BHAGAT,M,49,GEN,PBI,369,1,370
46,CHHATARPUR,8,BABU LAL,M,36,SC,IND,245,0,245
46,CHHATARPUR,9,ASHOK,M,25,GEN,SHS,180,0,180
47,DEOLI (SC),1,PRAKASH,M,25,SC,AAAP,51566,80,51646
47,DEOLI (SC),2,GAGAN RANA @ GAGAN SHRI LAL PRADHAN,M,30,SC,BJP,34442,96,34538
47,DEOLI (SC),3,ARVINDER SINGH,M,48,SC,INC,26055,85,26140
47,DEOLI (SC),4,KISHOR KUMAR RAJORA,M,39,SC,BSP,4398,21,4419
47,DEOLI (SC),5,None of the Above,N/A,N/A,N/A,NOTA,836,2,838
48,AMBEDKAR NAGAR (SC),1,ASHOK KUMAR,M,40,SC,SC,36058,181,36239
48,AMBEDKAR NAGAR (SC),2,KHUSHI RAM CHUNAR,M,39,SC,BJP,24400,169,24569
48,AMBEDKAR NAGAR (SC),3,CH. PREM SINGH,M,80,SC,INC,19597,156,19753
48,AMBEDKAR NAGAR (SC),4,GHAN SHYAM DASS,M,64,SC,BSP,3227,23,3250
48,AMBEDKAR NAGAR (SC),5,None of the Above,N/A,N/A,N/A,NOTA,559,9,568
48,AMBEDKAR NAGAR (SC),6,RADHEY SHYAM,M,41,SC,IND,329,1,330
48,AMBEDKAR NAGAR (SC),7,GOPAL KRISHAN,M,28,SC,JKNPP,238,0,238
48,AMBEDKAR NAGAR (SC),8,RAJVEER SINGH,M,40,SC,IND,190,0,190
48,AMBEDKAR NAGAR (SC),9,RAMESH CHANDER CHHAZLAAN,M,60,SC,BHBP,186,2,188
48,AMBEDKAR NAGAR (SC),10,RAJ KUMAR BANEWAL,M,49,SC,IJP,101,3,104
49,SANGAM VIHAR,1,DINESH MOHANIYA,M,35,GEN,AAAP,24819,32,24851
49,SANGAM VIHAR,2,SHIV CHARAN LAL GUPTA,M,60,GEN,BJP,24037,37,24074
49,SANGAM VIHAR,3,JAG PARVESH,M,41,GEN,INC,16413,22,16435
49,SANGAM VIHAR,4,VIR SINGH,M,58,GEN,BSP,9834,16,9850
49,SANGAM VIHAR,5,SHISH PAL SINGH,M,56,GEN,JD(U),8999,11,9010
49,SANGAM VIHAR,6,DASHRATH CHAUHAN,M,40,GEN,IND,1499,1,1500
49,SANGAM VIHAR,7,SHAHID,M,38,GEN,PECP,753,0,753
49,SANGAM VIHAR,8,KALPANA JHA,F,41,GEN,IND,507,1,508
49,SANGAM VIHAR,9,AMARJEET VERMA,M,43,GEN,PBI,484,0,484
49,SANGAM VIHAR,10,None of the Above,N/A,N/A,N/A,NOTA,297,1,298
49,SANGAM VIHAR,11,LOKESH KUMAR,M,29,SC,IND,281,0,281
49,SANGAM VIHAR,12,DIWAKAR JHA,M,41,GEN,IND,246,0,246
49,SANGAM VIHAR,13,RAMA WATI,F,36,GEN,RAMSP Gas Stove,199,0,199
49,SANGAM VIHAR,14,SHAILENDRA KUMAR,M,36,GEN,IND,193,0,193
49,SANGAM VIHAR,15,RITA GILL,F,44,GEN,IJP,171,1,172
49,SANGAM VIHAR,16,DIPANKAR BANERJEE,M,28,GEN,RAJSP,152,0,152
49,SANGAM VIHAR,17,NARESH SHARMA,M,27,GEN,SP,90,1,91
49,SANGAM VIHAR,18,MOHD. YOUNUS,M,46,GEN,LJP,70,0,70
50,GREATER KAILASH,1,SAURABH BHARADWAJ,M,33,GEN,AAAP,42924,173,43097
50,GREATER KAILASH,2,AJAY KUMAR MALHOTRA,M,52,GEN,BJP,29897,108,30005
50,GREATER KAILASH,3,VIRENDER KASANA,M,45,GEN,INC,19641,73,19714
50,GREATER KAILASH,4,MUKESH BHARDWAJ,M,40,GEN,BSP,900,12,912
50,GREATER KAILASH,5,None of the Above,N/A,N/A,N/A,NOTA,636,3,639
50,GREATER KAILASH,6,ASHOK KUMAR,M,31,SC,IND,426,1,427
50,GREATER KAILASH,7,NANHEY KHAN QURESHI,M,56,GEN,SP,425,1,426
51,KALKAJI,1,HARMEET SINGH,M,45,GEN,BJP,30586,97,30683
51,KALKAJI,2,DHARAMBIR SINGH,M,50,GEN,AAAP,28551,88,28639
51,KALKAJI,3,SUBHASH CHOPRA,M,66,GEN,INC,25711,76,25787
51,KALKAJI,4,DHARMENDER KUMAR,M,37,GEN,IND,3090,2,3092
51,KALKAJI,5,AJAY KR AGGARWAL,M,31,GEN,BSP,1232,3,1235
51,KALKAJI,6,None of the Above,N/A,N/A,N/A,NOTA,576,5,581
51,KALKAJI,7,MOHD VIKKI KHAN,M,48,GEN,JSMP,176,0,176
51,KALKAJI,8,RAMU,M,38,GEN,DMDK,172,0,172
51,KALKAJI,9,SUSHIL GARG,M,38,GEN,IND,162,0,162
51,KALKAJI,10,SURENDER SINGH,M,45,GEN,IND,122,2,124
51,KALKAJI,11,BHESH DHARI,M,33,GEN,IND,82,1,83
51,KALKAJI,12,SUMAN YADAV,F,36,GEN,SP,76,2,78
51,KALKAJI,13,RAMESH CHAND YADAV,M,30,GEN,JKNPP,49,0,49
52,TUGHLAKABAD,1,RAMESH BIDHURI,M,52,GEN,BJP,33931,78,34009
52,TUGHLAKABAD,2,SAHI RAM,M,52,GEN,BSP,28006,57,28063
52,TUGHLAKABAD,3,MANOJ KUMAR RAY,M,30,GEN,AAAP,12416,49,12465
52,TUGHLAKABAD,4,OM PARKASH,M,52,GEN,INC,9744,37,9781
52,TUGHLAKABAD,5,SHISH PAL,M,59,GEN,IND,1269,0,1269
52,TUGHLAKABAD,6,MOHD. SHABBIR,M,44,GEN,JD(U),460,0,460
52,TUGHLAKABAD,7,None of the Above,N/A,N/A,N/A,NOTA,457,0,457
52,TUGHLAKABAD,8,HANSRAJ NAGAR,M,32,GEN,IND,195,0,195
52,TUGHLAKABAD,9,AMIT BIDHURI,M,31,GEN,IND,177,0,177
52,TUGHLAKABAD,10,REKHA SINGH,F,43,GEN,IND,115,0,115
52,TUGHLAKABAD,11,BIRJU NAYAK,M,38,GEN,IND,106,2,108
52,TUGHLAKABAD,12,MAHIPAL SINGH,M,43,SC,IND,80,1,81
52,TUGHLAKABAD,13,BALVEER,M,49,GEN,IND,60,0,60
53,BADARPUR,1,RAMBIR SINGH BIDHURI,M,60,GEN,BJP,45193,151,45344
53,BADARPUR,2,RAM SINGH NETAJI,M,57,GEN,INC,31411,79,31490
53,BADARPUR,3,NAR SINGH SHAH,M,41,ST,BSP,30242,104,30346
53,BADARPUR,4,NARAYAN DUTT SHARMA,M,40,GEN,AAAP,20781,52,20833
53,BADARPUR,5,OM PRAKASH GUPTA,M,61,GEN,IND,1274,1,1275
53,BADARPUR,6,None of the Above,N/A,N/A,N/A,NOTA,703,1,704
53,BADARPUR,7,LAL DEVENDER SINGH CHAUHAN,M,52,GEN,IND,448,0,448
53,BADARPUR,8,KALYAN SINGH MAAN,M,55,GEN,RLD,421,1,422
53,BADARPUR,9,RAM NATH SHARMA,M,50,GEN,IND,271,0,271
53,BADARPUR,10,YASH PAL SINGH,M,37,GEN,IND,258,0,258
53,BADARPUR,11,YOGESH,M,32,GEN,IJP,243,0,243
53,BADARPUR,12,JAY PRAKASH YADAV,M,44,GEN,SP,233,1,234
53,BADARPUR,13,CHAMPA DEVI,F,42,GEN,JD(U),205,0,205
53,BADARPUR,14,KAMTA MISHRA,M,52,GEN,IND,152,1,153
53,BADARPUR,15,AMRESH KUMAR CHAUDHARY,M,37,GEN,IND,129,0,129
53,BADARPUR,16,BIJENDER SINGH LOHIA,M,38,GEN,IND,105,0,105
54,OKHLA,1,ASIF MOHD KHAN,M,49,GEN,INC,49936,68,50004
54,OKHLA,2,IRFANULLAH KHAN,M,60,GEN,AAAP,23434,25,23459
54,OKHLA,3,DHIR SINGH BIDHURI,M,57,GEN,BJP,23334,24,23358
54,OKHLA,4,BRAHAM SINGH,M,49,GEN,BSP,20380,12,20392
54,OKHLA,5,SHOAB DANISH,M,48,GEN,JD(U),9708,27,9735
54,OKHLA,6,AMANATULLAH KHAN,M,39,GEN,LJP,3745,2,3747
54,OKHLA,7,AMIRUDDIN,M,53,GEN,SP,2394,1,2395
54,OKHLA,8,MUSARRAT ALI KHAN,M,39,GEN,PECP,1081,0,1081
54,OKHLA,9,SANTOSH KUMAR,M,35,GEN,IND,736,1,737
54,OKHLA,10,PRONAB HALDAR,M,38,GEN,CPI,660,0,660
54,OKHLA,11,None of the Above,N/A,N/A,N/A,NOTA,454,0,454
54,OKHLA,12,VED PRAKASH,M,46,GEN,AP,320,0,320
54,OKHLA,13,MOHD SHAMEEM,M,44,GEN,IND,278,0,278
54,OKHLA,14,KHURRUM ANIS OMER,M,50,GEN,IUML,270,0,270
54,OKHLA,15,A.S. SHAMIM,M,59,GEN,IND,202,0,202
54,OKHLA,16,ALAUDDIN,M,48,GEN,IND,164,0,164
54,OKHLA,17,ABDUL QAYYUM,M,43,GEN,SP(I),140,0,140
54,OKHLA,18,KALIMULLAH SIDDIQUI,M,45,GEN,BASPB,108,0,108
54,OKHLA,19,S M NOORULLAH,M,43,GEN,RUC,86,0,86
55,TRILOKPURI (SC),1,RAJU,M,39,SC,AAAP,43960,122,44082
55,TRILOKPURI (SC),2,SUNIL KUMAR,M,46,SC,BJP,26243,154,26397
55,TRILOKPURI (SC),3,HARNAM SINGH,M,37,SC,INC,19702,72,19774
55,TRILOKPURI (SC),4,VIJAY PAL,M,47,SC,BSP,16053,46,16099
55,TRILOKPURI (SC),5,JAGDEESH PRASAD,M,45,SC,IND,4171,4,4175
55,TRILOKPURI (SC),6,None of the Above,N/A,N/A,N/A,NOTA,662,4,666
55,TRILOKPURI (SC),7,PRITAM,M,46,SC,JD(U),639,1,640
55,TRILOKPURI (SC),8,KHUBI RAM,M,43,SC,CPI,476,0,476
55,TRILOKPURI (SC),9,SUBHASH CHAND,M,38,SC,IND,211,1,212
55,TRILOKPURI (SC),10,BITTOO SINGH,M,40,SC,HJP,198,2,200
55,TRILOKPURI (SC),11,SATPAL SINGH,M,45,SC,IPP,196,1,197
55,TRILOKPURI (SC),12,AJAY,M,48,SC,IND,174,1,175
55,TRILOKPURI (SC),13,PADAM CHAND,M,60,SC,IND,152,0,152
56,KONDLI (SC),1,MANOJ KUMAR,M,34,SC,AAAP,36737,126,36863
56,KONDLI (SC),2,DUSHYANT KUMAR GAUTAM,M,56,SC,BJP,29205,168,29373
56,KONDLI (SC),3,AMRISH SINGH GAUTAM,M,56,SC,INC,24577,153,24730
56,KONDLI (SC),4,CHAMAN KUMAR,M,38,SC,BSP,14836,152,14988
56,KONDLI (SC),5,None of the Above,N/A,N/A,N/A,NOTA,639,8,647
56,KONDLI (SC),6,GURBACHAN SINGH,M,69,SC,RPIE,573,1,574
56,KONDLI (SC),7,REKHA,F,40,SC,PBI,232,0,232
56,KONDLI (SC),8,RAMRUP,M,44,SC,CPI(ML) (L),202,1,203
56,KONDLI (SC),9,JITENDRA KAPIL,M,42,SC,IND,152,1,153
56,KONDLI (SC),10,DHARMENDRA DHORIWAL,M,39,SC,AICP,130,1,131
57,PATPARGANJ,1,MANISH SISODIA,M,41,GEN,AAAP,49960,251,50211
57,PATPARGANJ,2,NAKUL BHARDWAJ,M,33,GEN,BJP,38513,222,38735
57,PATPARGANJ,3,ANIL KUMAR,M,37,GEN,INC,27923,144,28067
57,PATPARGANJ,4,IRSHAD ALI,M,53,GEN,BSP,2094,33,2127
57,PATPARGANJ,5,None of the Above,N/A,N/A,N/A,NOTA,469,6,475
57,PATPARGANJ,6,KEHAR SINGH,M,57,GEN,CPI,360,2,362
57,PATPARGANJ,7,RAJ KISHOR,M,38,GEN,AP,263,1,264
57,PATPARGANJ,8,SAR VENDRA SINGH PAL,M,41,GEN,NCP,201,5,206
57,PATPARGANJ,9,KUNWAR PAL SINGH,M,57,GEN,KAJP,162,0,162
57,PATPARGANJ,10,VINOD KUMAR SINGH GAUTAM,M,45,GEN,CPI(ML) (L),146,0,146
57,PATPARGANJ,11,RAJPAL SINGH,M,41,SC,IND,96,1,97
57,PATPARGANJ,12,NAIM KHAN,M,44,GEN,IND,54,0,54
58,LAXMI NAGAR,1,VINOD KUMAR BINNY,M,39,GEN,AAAP,42869,183,43052
58,LAXMI NAGAR,2,ASHOK KUMAR WALIA,M,64,GEN,INC,35069,231,35300
58,LAXMI NAGAR,3,ABHAY KUMAR VERMA,M,40,GEN,BJP,33622,227,33849
58,LAXMI NAGAR,4,MOHAMMED NAEEM,M,37,GEN,IND,3410,0,3410
58,LAXMI NAGAR,5,MOOL CHAND,M,59,GEN,BSP,1256,19,1275
58,LAXMI NAGAR,6,None of the Above,N/A,N/A,N/A,NOTA,558,4,562
58,LAXMI NAGAR,7,VIKRAM NIJHAWAN,M,36,GEN,AICP,180,3,183
58,LAXMI NAGAR,8,DUSHYANT NAGAR,M,26,GEN,SP,135,1,136
58,LAXMI NAGAR,9,AJITA MALL,F,42,GEN,IND,118,1,119
58,LAXMI NAGAR,10,MANOJ KUMAR GUPTA,M,36,GEN,IND,103,0,103
58,LAXMI NAGAR,11,JAY RAM,M,48,GEN,JD(U),90,1,91
58,LAXMI NAGAR,12,RAJEEV KUMAR,M,42,GEN,IND,76,0,76
58,LAXMI NAGAR,13,RIFAKAT ALI,M,67,GEN,BJDI,42,1,43
58,LAXMI NAGAR,14,MURARI LAL PARJAPATI,M,68,GEN,IDP,41,0,41
59,VISHWAS NAGAR,1,OM PRAKASH SHARMA,M,60,GEN,BJP,44650,151,44801
59,VISHWAS NAGAR,2,NASEEB SINGH,M,46,GEN,INC,36846,156,37002
59,VISHWAS NAGAR,3,DR. ATUL GUPTA,M,55,GEN,AAAP,30233,155,30388
59,VISHWAS NAGAR,4,USHA SURYAN,F,50,GEN,IND,3220,1,3221
59,VISHWAS NAGAR,5,SUDESH KUMAR JAIN,M,53,GEN,BSP,1641,11,1652
59,VISHWAS NAGAR,6,None of the Above,N/A,N/A,N/A,NOTA,586,5,591
59,VISHWAS NAGAR,7,SHAUKAT ALI,M,63,GEN,IND,165,1,166
59,VISHWAS NAGAR,8,VIJAY KUMAR SHARMA,M,40,GEN,IND,87,0,87
60,KRISHNA NAGAR,1,DR. HARSH VARDHAN,M,58,GEN,BJP,68866,356,69222
60,KRISHNA NAGAR,2,DR VINOD KUMAR MONGA,M,61,GEN,INC,25971,101,26072
60,KRISHNA NAGAR,3,ISHRAT ALI ANSARI,M,63,GEN,AAAP,17417,81,17498
60,KRISHNA NAGAR,4,SAHRUR,F,37,GEN,IND,2876,0,2876
60,KRISHNA NAGAR,5,NAYEEM ABBAS,M,35,GEN,BSP,1798,22,1820
60,KRISHNA NAGAR,6,None of the Above,N/A,N/A,N/A,NOTA,578,9,587
60,KRISHNA NAGAR,7,SALMA,F,36,GEN,SP,275,0,275
60,KRISHNA NAGAR,8,RAJESH,M,45,GEN,ANC,163,2,165
60,KRISHNA NAGAR,9,VIJAY KUMAR ARORA,M,49,GEN,IND,86,0,86
60,KRISHNA NAGAR,10,AJAY SURYAVANSHI,M,43,GEN,IND,63,0,63
61,GANDHI NAGAR,1,ARVINDER SINGH LOVELY,M,44,GEN,INC,48799,98,48897
61,GANDHI NAGAR,2,RAMESH CHAND JAIN,M,57,GEN,BJP,31860,76,31936
61,GANDHI NAGAR,3,ANIL KUMAR BAJPAI,M,56,GEN,AAAP,16478,68,16546
61,GANDHI NAGAR,4,NAFIS AHMED,M,62,GEN,PECP,1193,0,1193
61,GANDHI NAGAR,5,OM PAL SINGH,M,42,GEN,BSP,1102,3,1105
61,GANDHI NAGAR,6,None of the Above,N/A,N/A,N/A,NOTA,527,4,531
61,GANDHI NAGAR,7,BHASKAR GUPTA,M,38,GEN,IND,130,0,130
61,GANDHI NAGAR,8,ANAND MOHAN SINGH,M,45,GEN,PHRC,105,0,105
61,GANDHI NAGAR,9,DIWAKAR,M,25,GEN,SP,103,0,103
61,GANDHI NAGAR,10,NEERAJ SHARMA,M,41,GEN,IND,75,1,76
61,GANDHI NAGAR,11,VIJAY SINGH,M,37,GEN,SHS,69,1,70
61,GANDHI NAGAR,12,RAJESH KUMAR,M,33,SC,IND,64,0,64
61,GANDHI NAGAR,13,JAI KISHAN,M,26,SC,IND,62,1,63
61,GANDHI NAGAR,14,PARDEEP KUMAR DUBEY,M,32,GEN,IND,58,0,58
62,SHAHDARA,1,JITENDER SINGH SHUNTY,M,51,GEN,BJP,45138,226,45364
62,SHAHDARA,2,NARENDER NATH,M,69,GEN,INC,30122,125,30247
62,SHAHDARA,3,BALBIR SINGH,M,39,GEN,AAAP,23379,133,23512
62,SHAHDARA,4,ACHAL SHARMA,M,26,GEN,IND,2723,2,2725
62,SHAHDARA,5,BHIM SINGH,M,67,SC,BSP,2209,30,2239
62,SHAHDARA,6,None of the Above,N/A,N/A,N/A,NOTA,585,10,595
62,SHAHDARA,7,TASAVVAR,M,29,GEN,IDP,230,0,230
62,SHAHDARA,8,NIKUNJ SHARMA,M,27,GEN,NCP,225,4,229
62,SHAHDARA,9,AKEEL,M,36,GEN,SP,131,1,132
